Be-Dazzled,ColourPop,Lipstick,124,57,150,$6.00,https://colourpop.com/product/be-dazzled/,https://21xbqp47bhl33rua4p23hlhl-wpengine.netdna-ssl.com/wp-content/uploads/2015/08/Ultra-Matte-Bedazzled-600x600.jpg
Trap,ColourPop,Lipstick,178,138,131,$6.00,https://colourpop.com/product/trap/,https://21xbqp47bhl33rua4p23hlhl-wpengine.netdna-ssl.com/wp-content/uploads/2015/06/Ultra-Matte-Lip-Trap-600x600.jpg
Teeny Tiny,ColourPop,Lipstick,159,106,104,$6.00,https://colourpop.com/product/teeny-tiny/,https://21xbqp47bhl33rua4p23hlhl-wpengine.netdna-ssl.com/wp-content/uploads/2015/11/Ultra-Matte-Product-Teeny-Tiny-1024x1024.jpg
Beeper,ColourPop,Lipstick,171,107,95,$6.00,https://colourpop.com/product/beeper/,https://21xbqp47bhl33rua4p23hlhl-wpengine.netdna-ssl.com/wp-content/uploads/2015/08/Ultra-Matte-Beeper-600x600.jpg
Bumble,ColourPop,Lipstick,204,101,92,$6.00,https://colourpop.com/product/bumble/,https://21xbqp47bhl33rua4p23hlhl-wpengine.netdna-ssl.com/wp-content/uploads/2015/06/Ultra-Matte-Lip-Bumble-600x600.jpg
Chilly Chili,ColourPop,Lipstick,182,104,90,$6.00,https://colourpop.com/product/chilly-chili/,https://21xbqp47bhl33rua4p23hlhl-wpengine.netdna-ssl.com/wp-content/uploads/2015/09/chilly-chili-1024x1024.jpg
StingRAYE,ColourPop,Lipstick,168,111,100,$6.00,https://colourpop.com/product/stingraye/,https://21xbqp47bhl33rua4p23hlhl-wpengine.netdna-ssl.com/wp-content/uploads/2015/11/Ultra-Matte-Sting-Raye-1024x1024.jpg
Tulle,ColourPop,Lipstick,158,74,77,$6.00,https://colourpop.com/product/tulle/,https://21xbqp47bhl33rua4p23hlhl-wpengine.netdna-ssl.com/wp-content/uploads/2015/06/Ultra-Matte-Lip-Tulle-600x600.jpg
Kapow,ColourPop,Lipstick,134,93,97,$6.00,https://colourpop.com/product/kapow/,https://21xbqp47bhl33rua4p23hlhl-wpengine.netdna-ssl.com/wp-content/uploads/2015/08/Ultra-Matte-Kapow-600x600.jpg
Limbo,ColourPop,Lipstick,134,74,58,$6.00,https://colourpop.com/product/limbo/,https://21xbqp47bhl33rua4p23hlhl-wpengine.netdna-ssl.com/wp-content/uploads/2015/06/Ultra-Matte-Lip-Limbo-600x600.jpg
